id,messier_id,designations
118,M17, horseshoe nebula
119,M17, checkmark nebula
120,M18,messier 18
121,M18, m18
122,M18, ngc 6613
123,M18, c 1817-171
124,M18, mwsc 2892
125,M19,messier 19
126,M19, m19
127,M19, ngc 6273
128,M19, gcl 52
129,M19, c 1659-262
130,M19, mwsc 2519
131,M20,messier 20
132,M20, m20
133,M20, trifid nebula
134,M20, ngc 6514
135,M20, sharpless 30
136,M20, rcw 147
137,M20, gum 76
138,M20, c 1759-230
139,M20, collinder 360
140,M20, lbn 27
141,M20, mwsc 2789
142,M20, ocl 23.0
143,M21,messier 21
144,M21, m21
145,M21, ngc 6531
146,M21, ocl 26.0
147,M21, mwsc 2796
148,M21, gc 372
149,M21, c 1801-225
150,M22,messier 22
151,M22,m22
152,M22,ngc 6656
153,M22,gcl 99
154,M22,c 1833-239
155,M22,mwsc 2961
156,M22,lacaille i.12
157,M23,messier 23
158,M23, m23
159,M23, ngc 6494
160,M23, collinder 356
161,M23, c 1753-190
162,M23, mwsc 2757
163,M24,messier 24
164,M24, m24
165,M24, ic 4715
166,M24, sagittarius star cloud
167,M24, small sagittarius star cloud
168,M24, delle caustiche
169,M25,messier 25
170,M25, m25
171,M25, ic 4725
172,M25, collinder 382
173,M25, melotte 204
174,M25, c 1828-192
175,M25, mwsc 2940
176,M26,messier 26
177,M26, m26
178,M26, ngc 6694
