"M16,emission nebula with an open cluster,,""pillars of creation, stellar spire"",serpens,18h 18m 48s,-13å¡49‰Û_,""7,000 light years (2,146 parsecs)"",+6.0,-8.21,""30‰Û_ (nebula), 7‰Û_ (cluster)"",""70ÌÑ55 light years (nebula), 15 light years (cluster)"",,5.5 million years,,,,,,,,,,,,,1746.0,ChÌ©seaux";
"M17,nebula,emission,,sagittarius,18h 20m 26s,-16å¡10‰Ûª36‰Û,""5,000-6,000 light years (1,533-1,840 parsecs)"",+6.0,,11‰Û_,,,,,,,,,,,,,,,,1746.0,ChÌ©seaux";
"M18,cluster,open,,sagittarius,18h 19.9m,-17å¡08‰Û_,""4,900 light years (1500 parsecs)"",7.5,,9‰Û_,9 light years,,32 million years,,,,,,,,,,,,,1764.0,Messier";
"M19,cluster,globular,,ophiuchus,17h 02m 37.69s,-26å¡16‰Ûª04.6‰Û,""28,700 light years (8,800 parsecs)"",+7.47,-9.0,17‰Û_,70 light years,viii,11.9 billion years,""300,000"",,,,,,,,,,,,1764.0,Messier";
"M2,cluster,globular,,aquarius,21h 33m 27.02s,-00å¡49‰Ûª23.7‰Û,""37,500 light years"",+6.3,,16 x 16 arc minutes,87.3 light years,ii,13 billion years,""150,000"",,,,,,,,,,,,1746.0,Maraldi";
"M20,nebula with an open cluster,""emission, reflection, dark"",,sagittarius,18h 02m 23s,-23å¡01‰Ûª48‰Û,""5,200 light years (1,600 parsecs)"",+6.3,,28‰Û_,21 light years,,""300,000 years"",,,,,,,,,,,,,1749.0,Le Gentil";
"M21,cluster,open,,sagittarius,18h 04.6m,-22å¡30‰Û_,""4,250 light years (1,400 parsecs)"",+6.5,,13‰Û_,8 light years,,4.6 million years,57,,,,,,,,,,,,1764.0,Messier";
"M22,cluster type,globular,""planetary nebula, black holes"",sagittarius,18h 36m 23.94s,-23å¡54‰Ûª17.1‰Û,""10,600 light years (3,000 parsecs)"",+5.1,,32‰Û_,50 light years,vii,12 billion years,""83,000"",,,,,,,,,,,,1665.0,Ihle";
"M23,cluster,open,,sagittarius,17h 56.8m,-19å¡01‰Û_,""2,150 light years (659 parsecs)"",+6.9,,27‰Û_,8 light years,,220 million years,176,,,,,,,,,,,,1764.0,Messier";
"M24,milky way star cloud,,""open clusters, dark nebulae, planetary nebula"",sagittarius,18h 17m,-18å¡29‰Û_,""10,000 light years (3,070 parsecs)"",4.6,,90‰Û_,300 light years,,220 million years,,,,,,,,,,,,,1764.0,Messier";
"M25,cluster,open,,sagittarius,18h 31.6m,19å¡15‰Û_,""2,000 light years (613 parsecs)"",4.6,,32‰Û_,10 light years,,90 million years,601,,,,,,,,,,,,1746.0,ChÌ©seaux";
"M26,cluster,open,low density region near the nucleus,scutum,18h 45.2m,-09å¡24‰Û_,""5,000 light years (1,534 parsecs)"",+8.0,,15‰Û_,11 light years,,89 million years,90,,,,,,,,,,,,1749.0,Le Gentil";
